Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
summary,string,"A short description of the subject, content, and key points of a document.",backgroundSummary,nc:DocumentSummaryText,nc : TextType,"A short description of the subject, content, and key points of a document.",Mapped to existing NIEMOpen attribute.,
evidenceReceivedOn,string,Date and time when the evidence was received,triageInfo,EvidenceReceivedDateTime,niem-xs : dateTime,A date and time when evidence was received.,Initial refinement completed. Pending Tiger Team review.,
evidenceProcessedOn,string,Date and time that the evidence was processed,triageInfo,EvidenceProcessedDateTime,niem-xs : dateTime,A date and time when evidence was processed.,Initial refinement completed. Pending Tiger Team review.,
evidenceRecovered,object,An item legally received by or submitted to an agency for use in ascertaining the truth of a matter.,triageInfo,j:Evidence,j : EvidenceType,An item legally received by or submitted to an agency for use in ascertaining the truth of a matter.,Mapped to existing NIEMOpen attribute.,
surname,string,A last name or family name of a person.,"evidenceRecovered, historyComments, comments, wtiComments, subjects",nc:PersonSurName,nc : PersonNameTextType,A last name or family name of a person.,Mapped to existing NIEMOpen attribute.,
givenName,string,A first name of a person.,"evidenceRecovered, historyComments, comments, wtiComments, subjects",nc:PersonGivenName,nc : PersonNameTextType,A first name of a person.,Mapped to existing NIEMOpen attribute.,
middleName,string,A middle name of a person.,"evidenceRecovered, historyComments, comments, wtiComments, subjects",nc:PersonMiddleName,nc : PersonNameTextType,A middle name of a person.,Mapped to existing NIEMOpen attribute.,
modifyTime,string,A time stamp identifying when a data file was last modified.,"evidenceRecovered, historyComments, comments, wtiComments, subjects",cbrn:DataFileLastModifiedDateTime,niem-xs : dateTime,A time stamp identifying when a data file was last modified.,Mapped to existing NIEMOpen attribute.,
evidenceDescription,string,Description of the recovered evidence,evidenceRecovered,j:EvidenceItemText,nc : TextType,A piece of evidence.,Mapped to existing NIEMOpen attribute.,
levelOneDisposition,object,Description of the disposition of CEM after Level 1 analysis,triageInfo,,,,Needs to be refined by Tiger Team.,
associations,object,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together.",triage,nc:Assocation,nc : associationType,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together.",Mapped to existing NIEMOpen attribute.,
reportSubmitter,string,A single or delimited list of submitter identifiers to restrict the returned results,associations,nc:DocumentSubmitter,nc : EntityType,An entity responsible for making the resource available.,Mapped to existing NIEMOpen attribute.,
associatedCases,array,An association between related cases.,associations,nc:RelatedCaseAssociation,nc : relatedCaseAssociationType,An association between related cases.,Mapped to existing NIEMOpen attribute.,
reportType,string,Type of report,associatedCase,,,,Needs to be refined by Tiger Team.,
associationNumber,string,Identifier for associated case,associatedCase,nc:RelatedCaseAssociation,nc:RelatedActivityAssociationType,An association between related cases.,Initial refinement completed. Pending Tiger Team review.,
reason,string,A description of an association.,associatedCase,nc:AssocationDescriptionText,nc : TextType,A description of an association.,Mapped to existing NIEMOpen attribute.,
isPrimary,boolean,Indicator showing whether a case is the primary associated case,associatedCase,isPrimaryIndicator,niem-xs : boolean,True if a case is the primary case for a group of associated cases; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
incident,object,"An occurrence, caused by either human action or natural phenomena, that requires action to prevent or minimize loss of life or damage to, loss of, or other risks to property, information, and/or natural resources",triage,nc:Incident,nc : IncidentType,An occurrence or an event that may require a response.,Mapped to existing NIEMOpen attribute.,
incidentType,string,A single or delimited list of incident types to restrict the results to.,incident,j:IncidentGeneralCategoryText,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
discoveryOrganization,string,"When provided as an identifier (GUID) or string ( name), will return only results assigned to a particular Discovery Organization ",incident,nc:OrganizationName,nc : TextType,A name of an organization.,Mapped to existing NIEMOpen attribute.,
targetType,string,A single or delimited list of target types to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),incident,j:TargetName,nc : TextType,A name or a target or object for which an action is taken.,Mapped to existing NIEMOpen attribute.,
occurrenceTime,string,A full date and time.,incident,nc:DateTime,niem-xs : dateTime,A full date and time.,Mapped to existing NIEMOpen attribute.,
dtgType,string,"Information on the occurenceTime (i.e., exact, estimated, etc.)",incident,DTGDetails,nc : TextType,"Information about a date-time group (DTG), such as whether it is an exact time, estimated time, etc.",Initial refinement completed. Pending Tiger Team review.,
locationType,string,A kind or functional description of a location.,incident,nc:LocationCategoryText,nc : TextType,A kind or functional description of a location.,Mapped to existing NIEMOpen attribute.,
gridCoordinates,object,A location identified by map or grid coordinates.,,nc:MapLocation,nc : MapLocationType,A location identified by map or grid coordinates.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius",gridCoordinates,nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
lon,string,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,loc,nc:LongitudeDegreeValue,nc : LongitudeDegreeType,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,Mapped to existing NIEMOpen attribute.,
