Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
timerCategory,string,Kind of timer used for the timing switch,timeElectronic,,,,Needs to be refined by Tiger Team.,
watchCategory,string,Kind of watch used for the timing switch,timeElectronic,,,,Needs to be refined by Tiger Team.,
victimOperated,object,An IED containing at least one switch that is activated by an unsuspecting individual. These switches rely on the intended target to carry out some form of action that will cause it to function,switch,,,,Needs to be refined by Tiger Team.,
pressureSwitch,object,A switch designed to function when pressure is applied in a predetermined direction.,victimOperated,,,,Needs to be refined by Tiger Team.,
plunger,string,,pressureSwitch,,,,Needs to be refined by Tiger Team.,
crushWire,string,Contact point(s) spanning a length of wire that function an IED when crushed,pressureSwitch,CrushWireContactPointsValue,nc:ValueType,Contact point(s) spanning a length of wire that function an IED when crushed.,Initial refinement completed. Pending Tiger Team review.,
plate,string,,pressureSwitch,,,,Needs to be refined by Tiger Team.,
tube,string,,pressureSwitch,,,,Needs to be refined by Tiger Team.,
pressureRelease,string,A switch for activating the device that occurs as a result of reductions in pressure,victimOperated,,,,Needs to be refined by Tiger Team.,
pressureAndPressureRelease,string,A method for activating the device that occurs as a result of either application or reduction of pressure.,victimOperated,,,,Needs to be refined by Tiger Team.,
sensor,string,"A switch used to detect change in heat, light, movement, vibration, electromagnetic frequency, sound or magnetic field.",victimOperated,mo:Sensor,mo : SensorType,A device which detects or measures a physical property.,Mapped to existing NIEMOpen attribute.,
tension,string,A switch that functions when tension is applied to a firing mechanism – such as pulling a trip wire. The tension causes an action that releases a firing pin or activates an electrical or electronic switch,victimOperated,,,,Needs to be refined by Tiger Team.,
tensionRelease,string,A switch that functions when tension is released – such as when a taut wire or cord is cut or broken – releasing a spring-loaded firing pin or closes electrical contacts initiating the device,victimOperated,,,,Needs to be refined by Tiger Team.,
collapsingCircuit,string,A switch which utilizes a circuit designed to detect a failure in an active circuit by monitoring voltage or amperage levels on the target circuit (wire being cut or battery drain),victimOperated,CollapsingCircuitMonitoringSwitch,nc:TextType,A description of any switch which utilizes a circuit designed to detect a failure in an active circuit by monitoring voltage or amperage levels on the target circuit (wire being cut or battery drain).,Initial refinement completed. Pending Tiger Team review.,
membraneSwitch,string,,victimOperated,,,,Needs to be refined by Tiger Team.,
initiator,object,Any component that may be used to start a detonation or deflagration. An initiator will be categorized as either a detonator or an ignitor,technicalCategorization,IEDinitiatorType,,A data type for a component that may be used to start a detonation or deflagration.,Initial refinement completed. Pending Tiger Team review.,
electric,object,An initiator functioned by an electrical impulse that creates heat or a spark.,initiator,ElectricInitiatorIndicator,niem-xs : Boolean,True if the IED initiator functions by an electrical impulse that creates heat or a spark; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
commercialInitiator,object,"Initiator produced and used for commercial, industrial, or recreational applications.","electric, nonElectric",CommercialInitiator,IEDInitiatorType,"An initiator produced and used for commercial, industrial, or recreational applications.",Initial refinement completed. Pending Tiger Team review.,
modified,boolean,A commercial or military manufactured initiator which has been altered or combined with other items which were not a part of the original manufactured design. Examples include: converting a manufactured non-electric initiator into an electric initiator and converting a manufactured electric initiator into a non-electric initiator.,"commercialInitiator, militaryInitiator",,,,Needs to be refined by Tiger Team.,
detonator,string,Blasting cap; A device containing a sensitive explosive intended to produce a detonation wave. Can be either electric or nonelectric.,"commercialInitiator, militaryInitiator, improvisedInitiator",DetonatorDescriptionText,nc : TextType,Description of a device containing a sensitive explosive intended to produce a detonation wave. Can be either electric or nonelectric.,Initial refinement completed. Pending Tiger Team review.,
ignitor,string,A device designed to produce a flame or a spark to initiate an explosive train without the production/use of a shockwave,"commercialInitiator, militaryInitiator, improvisedInitiator",j:ExplosiveIgnitionText,nc : TextType,A means by which an explosive is ignited or detonated.,Mapped to existing NIEMOpen attribute.,
militaryInitiator,object,Initiator produced and used for military applications.,"electric, nonElectric",,,,Needs to be refined by Tiger Team.,
improvisedInitiator,object,"An initiator which is made from readily available materials. An improvised initiator does not contain any part of a commercially manufactured initiator. Items used in an improvised initiator may include household and mass produced items which can be locally procured. Items could include, but are not limited to: pens, syringes, metal tubing light bulbs, etc.","electric, nonElectric",ImprovisedInitiator,IEDInitiatorType,An initiator which is made from readily available materials and does not contain any part of a commercially manufactured initiator. ,Initial refinement completed. Pending Tiger Team review.,
nonElectric,object,"An initiator that functions by other than electric means (friction, chemical, impact).",initiator,ElectricInitiatorIndicator,niem-xs : Boolean,True if the IED initiator functions by an electrical impulse that creates heat or a spark; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
projectileInitiating,string,"An initiation method designed to rely solely on the impact of an object, such as a bullet or other fast moving item, into an explosive component.",nonElectric,,,,Needs to be refined by Tiger Team.,
mainCharge,object,The explosive charge which is provided to accomplish the end result in a munition or improvised device. ,technicalCategorization,MainCharge,,An explosive charge which is provided to accomplish the end result in a munition or improvised device. ,Initial refinement completed. Pending Tiger Team review.,
composition,object,Types of explosives that the munition or improvised device consists of,mainCharge,MainChargeComposition,MainChargeCompositionType,Composition of the main charge in a munition or improvised device.,Initial refinement completed. Pending Tiger Team review.,
highExplosives,object,"A chemical compound or mixture that is capable of supporting or sustaining a detonation wave. High explosives combust instantaneously producing heat, gas, a rapid expansion of matter, and a detonation / shock wave",composition,HighExplosive,ExplosiveType,A chemical compound or mixture that is capable of supporting or sustaining a detonation wave. ,Initial refinement completed. Pending Tiger Team review.,
commercialExplosives,object,"Explosives produced and used for commercial, industrial, or recreational applications.","highExplosives, lowExplosives",CommercialExplosiveCodes,xs:string,"A code identifying explosives produced and used for commercial, industrial, or recreational applications.",Initial refinement completed. Pending Tiger Team review.,
blastingAgent,string,An explosive material which meets prescribed criteria for insensitivity to initiation. Generally a non-detonator sensitive explosive that must be initiated by a booster to detonate. May be configured in cartridge form or as a mass of explosive material prepared for use on site without packaging.,commercialExplosives,BlastingAgentConfiguration,xs:string,A configuration of an explosive material which meets prescribed criteria for insensitivity to initiation. Generally a non-detonator sensitive explosive that must be initiated by a booster to detonate.,Initial refinement completed. Pending Tiger Team review.,
castExplosive,string,Any explosive poured in liquid form and allowed to harden.,commercialExplosives,CastExplosiveDescription,xs:string,Description of an explosive poured in liquid form and allowed to harden.,Initial refinement completed. Pending Tiger Team review.,
binaryExplosives,string,An explosive formed by combining two non-explosive materials (an oxidizer and a fuel).,commercialExplosives,BinaryExplosiveProcess,nc:TextType,"A description of an explosive consisting of two separate components, neither of which is explosive on its own, that become explosive when combined.",Initial refinement completed. Pending Tiger Team review.,
